"","V11","V207","V210","V223","V323","V375","V465","V533","V534","V535","V551","V555","V573","V661","V686","V754","V800","V1001","V1112","V1215","V1288","V1293","V1392","V1448","V1572","V1635","V1687","V1731","V1733","V1734","V1824","V1875","V2242","V2296","V2448","V2819","V2850","V2859","V2882","V2909","V2930","V2975","V3019","V3045","V3056","V3058","V3059","V3060","V3061","V3173","V3214","V3236","V3237","V3324","V3339","V3402","V3405","V3443","V3472","V3489","V3717","V3729","V3733","V3734","V3736","V3740","V3743","V4019","V4020","V4021","V4022","V4063","V4081","V4086","V4097","V4118","V4408","V4863","V4887","V4983","V4993","V4996","V5023","V5024","V5067","V5084","V5091","V5094","V5099","V5102","V5104","V5108","V5117","V5130","V5209","V5242","V5388","V5465","V5542","V5588","V5868","V5911","V6089","V6153","V6198","V6208","V6220","V6320","V6322","V6421","V6423","V6461","V6481","V6497","V6513","V6542","V6570","V6741","V6745","V6782","V6873","V7013","V7104","V7105","V7118","V7228","V7229","V7249","V7333","V7340","V7437","V7533","V7566","V7605","V7606","V7616","V7769","V7772","V7787","V7789","V7800","V7849","V7871","V7886","V7887","V7890","V8278","V8313","V8317","V8473","V8570","V8919","V8969","V9046","V9078","V9088","V9228","V9300","V9315","V9318","V9354","V9472","V9689","V9954","V9976","V10038","V10249","V10338","V10366","V10654","V10656","V10662","V10663","V10733","V10735","V10807","V10811","V10905","V11042","V11097","V11180","V11185","V11280","V11415","V11619","V11652","V12239","V12243","V12248","V12297","V12405","V12449","V12508","V12509","V12588","V12620","V12638","V12676","V12712","V12731","V12762","V12853","V12922","V13019","V13030","V13033","V13041","V13082","V13083","V13084","V13108","V13149","V13165","V13267","V13314","V13323","V13387","V13613","V13616","V13621","V13640","V13772","V13789","V13823","V13920","V14003","V14208","V14264","V14265","V14266","V14267","V14268","V14388","V14393","V14466","V14627","V14628","V14632","V14633","V14634","V14636","V14639","V14641","V14642","V14645","V14653","V14654","V14658","V14668","V14670","V14671","V14672","V14676","V14677","V14678","V14681","V14683","V14684","V14685","V14703","V14706","V14707","V14708","V14710","V14713","V14714","V14716","V14717","V14718","V14721","V14722","V14724","V14727","V14728","V14732","V14734","V14735","V14747","V14748","V14873","V14883","V14999","V15001","V15070","V15198","V15210","V15212","V15217","V15223","V15354","V15613","V15621","V15623","V15635","V15639","V15749","V15759","V16055","V16056","V16057","V16058","V16135","V16174","V16318","V16346"
"726",0,8,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,1,0,8,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,1,0,0,1,0,1,1,0,3,4,8,4,0,1,2,4,0,14,1,0,0,0,0,1,8,3,1,0,0,0,0,16,0,0,0,0,0,2,11,0,1,0,9,1,0,0,1,1,1,0,1,0,4,0,0,0,2,0,2,0,0,3,4,1,0,3,5,1,0,0,5,0,0,36,0,0,0,9,0,5,0,0,1,4,4,0,1,2,0,6,1,1,0,4,4,6,3,16,2,0,0,0,3,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,5,1,0,0,2,0,0,4,3,0,14,2,0,0,0,0,0,2,1,1,0,1,2,2,0,0,0,0,0,0,3,1,1,0,0,0,0,2,0,0,3,4,0,0,0,0,0,0,0,0,12,2,0,10,2,9,9,1,12,2,2,1,5,4,4,6,4,14,2,0,4,9,2,4,7,0,11,5,9,1,4,1,4,8,10,2,4,1,0,15,14,8,2,2,4,6,2,1,8,3,1,0,0,1,0,0,0,4,0,0,1,0,2,0,3,1,4,0,0,0,0,1,0
"727",0,15,33,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,1,0,1,0,0,0,1,0,0,3,16,9,4,1,0,3,4,0,35,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,2,17,0,0,0,5,0,2,0,0,0,0,0,1,1,1,0,1,0,0,0,5,0,1,1,3,0,0,20,67,3,0,0,21,0,0,171,0,0,0,36,0,7,0,0,1,1,5,0,0,1,0,8,0,2,0,1,1,4,1,8,0,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,1,3,1,0,0,0,0,1,0,0,3,0,23,2,13,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,0,4,2,0,0,43,1,0,0,0,0,0,3,0,1,0,1,0,0,0,0,3,0,0,9,5,4,9,0,5,4,1,1,6,2,11,16,0,11,1,2,0,20,4,12,3,5,2,4,7,2,2,1,1,7,6,1,3,1,1,5,5,10,0,10,6,3,3,0,5,0,19,0,0,0,12,0,0,0,1,0,1,1,0,0,2,0,1,0,3,1,0,1,0
"728",0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,2,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,7,0,4,2,4,0,4,2,0,0,2,3,1,0,0,0,11,1,0,0,0,0,0,1,0,1,0,0,0,7,50,1,0,0,5,0,0,0,1,0,0,0,1,0,2,0,0,0,0,2,3,0,3,0,0,1,0,31,49,1,0,0,24,2,0,1,1,0,0,34,0,1,0,0,3,1,2,0,0,2,0,2,0,2,1,0,2,10,9,0,0,159,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,3,1,0,0,2,0,1,3,5,0,4,0,0,0,2,0,1,2,0,0,0,0,0,4,0,0,0,0,0,1,2,4,0,1,0,0,2,0,0,1,0,0,0,4,0,1,0,0,0,0,4,0,0,27,9,26,19,1,13,10,8,5,10,9,17,23,7,27,2,2,15,39,5,21,14,7,7,6,31,2,6,6,15,5,27,8,1,2,11,26,13,18,0,7,17,15,4,0,2,0,4,0,0,1,0,1,0,0,2,0,1,2,4,0,0,1,7,0,0,0,0,0,40
"729",0,5,3,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,2,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,1,8,6,1,1,0,3,0,0,22,2,3,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,1,2,21,0,0,0,3,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,6,0,3,19,1,1,0,10,1,0,153,0,0,0,10,0,7,0,0,1,4,2,0,0,0,0,6,0,0,0,0,0,3,2,1,0,0,0,1,0,0,0,1,2,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1,0,1,0,3,2,0,0,0,0,0,3,4,0,11,8,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,1,2,0,0,0,1,1,0,1,0,2,0,0,1,0,3,0,0,11,0,9,11,2,3,5,6,5,6,5,7,3,2,15,4,2,0,12,3,8,8,2,9,6,12,0,6,4,14,4,8,2,4,4,2,10,4,5,1,3,8,5,2,1,0,18,3,0,0,1,1,0,2,0,0,0,0,1,1,1,1,0,1,1,2,0,0,0,0
"730",0,23,62,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,1,0,1,1,4,1,0,0,0,0,1,0,0,1,3,0,2,1,0,2,4,0,0,0,0,0,4,2,0,0,3,1,0,1,2,0,0,1,1,0,0,0,1,0,2,2,1,0,0,0,0,0,0,2,1,1,4,59,2,0,1,6,0,0,0,1,4,2,3,7,0,7,0,0,0,0,2,4,0,0,0,0,0,0,11,37,0,0,0,9,7,0,0,26,0,0,5,0,0,0,0,2,1,8,0,4,0,1,2,2,3,0,0,0,8,0,2,0,0,0,1,36,0,2,0,3,0,1,4,0,2,15,1,2,9,1,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,1,2,2,0,0,0,10,0,9,0,1,4,1,1,0,4,0,0,0,0,0,0,1,0,0,9,5,0,3,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,1,0,0,0,1,12,0,0,0,0,0,0,2,0,0,25,11,24,18,2,30,7,8,4,9,15,8,16,3,29,7,3,4,13,9,19,17,4,7,10,25,11,16,13,16,26,26,4,3,5,6,30,14,12,3,12,18,22,12,1,0,0,0,4,1,3,3,0,1,2,2,0,1,0,4,2,1,2,1,0,0,23,0,0,0
"731",0,48,120,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,10,0,0,0,1,2,3,0,0,0,0,0,0,1,1,0,9,0,3,0,1,0,0,0,0,3,1,0,1,17,3,0,1,5,3,10,1,29,3,4,1,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,2,14,3,0,0,8,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,8,0,2,2,1,12,0,4,13,0,0,0,13,0,0,508,0,0,1,8,0,14,0,0,1,2,4,0,1,0,0,9,0,2,0,0,1,6,1,71,0,1,0,6,0,0,0,1,0,0,11,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,3,3,2,3,0,0,0,3,1,0,0,2,1,0,9,6,0,2,2,17,0,2,1,0,4,0,1,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,4,1,3,2,0,0,0,5,2,0,13,1,5,6,0,10,5,4,3,4,5,10,7,1,14,4,3,0,13,3,16,5,1,10,4,14,0,6,8,6,5,11,2,3,1,1,12,12,9,2,3,4,5,4,3,14,1,4,0,0,1,0,0,3,2,0,0,0,1,0,0,2,0,0,1,5,1,0,0,0
"732",0,2,41,0,0,4,1,0,0,2,0,1,0,0,10,3,2,0,0,2,1,3,3,0,2,0,1,1,1,4,1,3,0,1,1,3,12,0,0,0,1,0,1,7,1,6,0,110,24,0,1,1,0,1,4,0,1,0,34,0,0,1,19,14,0,20,0,128,108,6,1,6,0,0,3,0,1,0,0,0,58,0,0,2,11,0,1,3,1,2,0,0,1,1,2,1,1,0,1,3,4,2,0,1,1,1,3,47,16,0,0,0,18,3,0,0,3,0,4,5,7,0,0,0,2,2,3,17,0,1,8,0,0,4,1,1,1,9,18,21,1,2,3,0,2,4,1,1,1,0,0,0,1,0,0,0,3,5,0,0,0,0,0,2,2,1,2,1,0,0,0,0,2,0,0,1,2,1,3,0,0,0,0,6,0,0,2,1,2,0,2,1,0,0,0,0,0,2,1,2,0,4,7,0,0,1,2,3,5,1,0,1,1,3,4,0,0,61,67,0,0,0,1,0,1,2,0,379,115,3,1,0,0,0,0,37,5,14,19,1,15,9,4,3,8,2,15,9,3,18,5,1,3,31,7,19,8,4,11,7,17,5,8,10,12,22,25,5,2,7,11,19,14,12,1,15,20,14,8,0,1,0,0,1,1,0,0,12,5,0,0,0,1,3,3,4,0,0,2,0,3,12,3,39,0
"733",0,4,39,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,5,0,1,0,1,0,0,0,0,0,1,0,0,0,4,0,1,1,1,4,0,0,0,1,1,0,1,7,7,0,3,0,1,6,1,12,0,1,0,0,0,2,2,2,1,1,0,0,0,3,1,0,0,0,0,0,25,0,0,1,3,1,0,1,1,1,0,0,1,2,3,0,0,0,1,0,1,0,1,0,0,2,0,14,6,6,0,2,3,0,0,3,0,0,0,6,0,0,0,0,0,4,2,0,1,0,6,1,0,1,0,0,0,3,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,9,1,0,0,0,4,0,0,1,2,0,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,735,0,0,0,0,0,0,5,0,3,1,1,0,0,0,0,1,0,0,4,4,4,8,1,8,4,0,7,1,1,2,5,1,10,1,0,4,17,1,5,4,3,0,2,4,4,3,3,2,3,4,4,1,2,0,11,3,8,0,4,0,2,1,0,5,4,5,0,0,0,24,0,0,0,1,0,2,0,0,0,1,0,0,0,0,23,2,0,0
"734",0,4,8,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,0,2,6,12,0,2,1,0,2,4,0,0,0,4,0,0,0,0,4,3,1,0,0,1,0,0,0,0,1,0,0,3,0,0,3,1,0,0,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,7,1,1,0,0,0,0,0,0,0,1,3,0,0,3,0,3,0,0,1,0,1,0,11,4,0,0,1,3,0,0,4,0,0,0,3,0,0,0,0,0,15,2,0,0,3,0,7,0,1,2,2,3,3,0,3,1,0,1,1,1,0,1,0,0,2,0,1,0,0,0,0,0,0,1,2,7,0,0,2,1,0,0,0,0,0,0,0,3,0,0,1,2,3,0,0,1,1,0,2,0,0,3,1,0,0,5,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,0,0,0,2,1,0,12,5,11,7,1,2,4,2,1,2,4,2,0,0,7,4,0,0,8,1,5,4,1,1,1,3,0,1,3,2,4,1,3,2,1,1,4,11,8,2,0,3,5,4,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,1,0,0,0,0,5,0,0
"735",0,3,3,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,2,1,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,7,0,5,1,1,0,0,0,0,0,0,0,3,9,4,2,0,7,1,8,1,29,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,4,9,0,0,0,2,0,0,2,0,1,0,0,2,3,1,0,0,1,1,0,0,0,1,0,0,6,0,14,10,0,0,0,5,0,0,71,0,1,0,3,0,8,0,0,1,1,5,0,5,2,0,11,1,0,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,5,0,0,1,0,0,13,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,6,5,1,0,0,3,0,0,3,1,0,10,7,16,0,1,0,1,1,0,1,0,0,0,2,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,5,2,0,0,0,0,0,0,7,0,0,1,4,4,7,1,8,2,0,0,2,1,4,3,0,7,1,2,1,11,0,12,4,1,3,0,15,1,1,3,3,8,11,4,2,2,1,4,6,3,0,3,4,2,4,1,0,0,1,0,0,0,2,0,0,0,1,0,1,3,2,1,1,1,4,0,2,3,0,0,0
"736",0,7,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,2,0,4,1,0,0,0,0,0,0,0,9,2,2,0,6,0,1,1,1,0,0,0,1,0,0,5,0,0,0,0,0,1,1,2,0,2,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,106,0,0,0,31,3,0,1,0,4,0,0,2,6,1,0,0,1,1,0,7,0,0,0,0,0,0,29,8,0,4,0,4,2,0,1,0,1,0,2,0,0,0,0,0,7,10,0,5,1,0,0,15,1,0,1,4,5,3,21,1,0,0,2,1,0,5,0,0,0,2,2,0,2,10,3,0,0,0,0,0,5,0,0,0,1,0,7,2,0,0,0,0,0,0,0,10,3,1,0,2,1,0,2,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,0,0,4,3,0,15,10,20,14,2,17,8,4,3,7,11,11,9,3,22,5,3,5,18,8,17,7,1,13,11,15,4,6,9,8,21,15,4,4,5,5,14,19,9,3,5,8,11,4,11,21,0,0,3,1,0,6,1,0,11,2,0,0,7,3,0,0,2,2,2,1,4,0,1,0
"737",0,10,17,0,0,8,1,0,0,0,0,1,0,0,0,2,0,0,2,3,2,0,5,0,1,0,0,2,0,2,0,1,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,1,3,3,4,1,0,0,1,0,15,1,1,0,0,0,0,2,0,0,0,0,0,0,3,0,2,0,0,0,1,24,2,1,0,2,0,0,0,0,0,0,1,1,7,0,0,0,0,0,2,2,0,0,2,1,7,0,68,15,2,0,0,2,0,0,0,0,0,0,3,0,0,0,0,3,3,5,0,3,2,0,3,0,1,0,1,2,5,8,18,1,0,0,4,4,1,0,0,0,0,13,5,0,2,0,0,1,0,0,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,4,0,0,0,1,0,1,2,0,19,2,0,0,0,0,0,2,0,1,0,0,1,3,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,2,1,0,2,6,4,8,0,10,0,6,2,2,4,4,8,1,19,5,2,0,19,2,10,9,2,3,4,10,2,7,1,9,6,2,2,1,2,0,13,8,4,1,5,1,7,8,0,2,0,9,0,0,0,24,0,0,1,0,0,0,0,0,0,1,5,0,0,1,16,0,0,0
"738",0,9,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,3,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,6,2,3,6,0,1,2,0,0,0,1,0,0,0,0,5,2,1,0,0,0,0,1,0,0,0,0,0,1,44,0,0,0,4,0,3,0,3,1,3,0,2,0,4,0,0,0,0,1,7,0,0,0,0,1,0,7,30,2,0,0,21,0,0,0,0,2,0,12,0,0,0,0,0,4,0,0,0,6,0,2,0,1,0,0,1,5,1,0,3,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,4,3,0,0,4,3,1,1,1,0,5,2,0,0,2,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,3,0,4,0,0,0,0,0,0,0,1,1,4,0,1,0,0,0,0,0,0,0,14,4,18,20,2,5,6,3,4,10,7,21,22,0,15,6,1,6,23,9,7,16,2,5,4,12,5,12,6,15,5,15,7,0,10,3,21,15,15,0,6,10,11,5,0,1,0,13,0,0,1,0,0,0,0,7,0,0,1,1,0,0,4,1,0,3,4,0,0,0
"739",0,5,5,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,4,0,2,4,0,0,2,0,2,3,0,0,0,3,0,1,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0,1,12,1,0,3,8,0,2,0,0,1,1,2,1,0,3,0,4,0,2,0,3,0,0,0,0,11,0,5,10,0,0,0,9,0,0,1,1,1,0,5,0,0,0,0,3,5,0,0,2,0,1,3,0,1,0,1,0,1,1,3,0,0,10,3,1,3,7,0,1,0,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,0,0,0,2,9,0,3,0,0,2,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,3,1,2,0,0,0,0,1,0,0,10,7,4,4,0,5,4,0,1,2,3,0,4,0,7,4,1,2,7,3,7,7,3,3,4,3,2,2,3,3,8,2,2,0,2,5,6,11,10,0,3,5,8,3,0,0,0,0,2,0,2,0,0,1,0,1,0,0,1,1,0,3,0,0,1,1,0,2,0,0
"740",0,6,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,9,0,0,0,2,1,3,0,0,0,0,0,2,0,0,9,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11,2,0,1,6,1,1,0,0,0,0,0,1,0,3,2,0,0,6,1,2,0,0,1,0,0,0,9,23,1,0,0,3,0,0,0,1,0,0,7,0,0,0,0,1,8,2,0,0,1,0,4,1,2,1,1,1,1,0,2,0,0,5,3,1,1,4,0,1,4,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,1,0,0,2,4,1,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,3,0,0,1,3,0,1,0,0,0,0,2,0,3,0,0,0,0,2,0,0,15,0,12,4,0,9,3,1,3,2,7,4,2,4,12,6,0,2,4,2,10,10,3,1,4,9,2,2,6,5,3,4,2,3,1,4,7,7,8,1,2,7,6,4,1,0,0,0,0,0,1,0,0,0,3,1,0,0,1,0,0,1,1,1,0,0,0,7,0,0
"741",1,7,29,2,3,0,0,0,1,0,0,0,0,0,1,0,3,1,0,1,1,5,2,0,0,0,2,1,0,0,0,1,0,0,1,0,2,1,2,0,4,0,0,0,0,3,0,16,2,0,2,0,0,1,2,2,0,1,6,0,2,1,4,4,0,3,5,27,28,2,1,2,0,0,0,1,0,0,0,1,60,1,0,0,7,2,0,0,0,0,4,0,1,2,2,1,0,0,0,0,4,0,2,1,0,1,0,8,30,4,0,0,19,3,0,0,0,1,2,15,0,0,1,0,0,3,1,0,0,2,0,1,2,0,1,2,2,4,5,6,0,36,0,0,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,3,0,0,1,1,0,2,1,0,0,0,0,1,0,0,1,2,0,0,1,0,1,1,0,0,4,0,2,1,2,0,3,0,0,0,5,0,0,0,0,0,12,0,0,3,0,1,3,0,0,1,0,0,0,6,0,6,29,1,0,0,1,1,1,3,0,56,29,0,0,0,1,0,0,17,6,12,13,1,10,11,4,1,8,3,14,13,3,15,1,1,6,27,9,14,14,5,9,2,15,5,12,3,4,4,14,7,5,3,2,21,9,8,2,6,12,14,6,0,1,0,0,0,2,6,0,11,4,7,2,0,1,0,5,0,0,0,3,0,0,3,0,10,2
"742",0,14,16,1,0,0,1,0,0,0,0,1,0,1,0,0,0,3,0,0,1,3,3,0,0,0,3,4,0,0,0,0,0,0,0,0,1,1,4,0,0,0,1,1,0,0,0,1,0,0,4,4,8,6,1,0,3,2,0,30,0,2,0,0,0,0,6,2,1,1,0,0,0,0,1,0,0,0,0,1,19,1,0,0,5,1,1,0,1,1,1,1,0,0,4,0,0,0,0,0,8,0,0,1,0,0,0,7,23,15,0,0,28,4,0,460,1,2,0,15,0,6,0,0,0,6,4,0,1,0,0,7,1,0,0,2,0,1,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0,1,1,0,0,0,0,0,4,3,0,7,2,3,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,4,0,4,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,13,11,13,13,0,8,5,2,3,2,1,3,8,2,6,3,1,1,21,3,9,7,3,2,6,7,1,5,3,7,7,13,4,0,2,6,7,7,3,1,3,5,8,3,0,0,2,13,0,0,3,35,1,1,0,1,0,0,3,1,1,0,1,1,0,3,0,0,0,0
"743",0,28,91,5,0,0,0,0,0,0,0,0,0,0,15,1,0,1,0,3,0,2,28,0,2,0,0,3,1,1,0,2,2,0,1,3,3,0,2,1,3,2,1,0,0,0,0,0,0,7,2,0,0,2,2,10,1,8,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,32,0,1,1,2,0,0,1,0,0,1,0,0,2,5,1,1,0,5,0,7,0,0,0,0,1,0,14,9,0,0,0,8,0,0,1,0,0,2,2,0,1,0,0,2,3,5,0,2,1,0,5,18,3,1,5,0,4,1,33,0,0,0,1,6,1,2,2,0,0,1,12,0,9,15,13,6,9,0,0,0,1,0,1,0,2,0,0,0,1,1,0,0,0,0,2,2,0,3,0,3,3,0,2,0,8,3,2,1,0,9,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,0,0,3,1,0,1,0,0,0,2,2,0,15,2,10,8,1,7,8,4,1,9,2,10,8,4,7,1,3,3,15,1,10,5,1,3,4,33,0,9,4,9,11,12,3,2,2,2,14,19,14,2,4,8,10,6,6,36,0,0,3,0,1,23,19,1,9,2,0,0,1,2,1,0,1,0,0,0,6,3,0,0
"744",0,8,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,5,0,1,0,1,0,3,2,0,0,0,0,0,0,0,2,4,0,0,0,1,3,0,0,0,0,0,0,6,12,8,2,1,0,3,4,0,14,1,0,0,0,0,0,7,0,1,0,1,0,0,0,0,1,0,0,1,0,17,1,0,0,5,1,0,0,0,1,1,0,0,3,1,1,0,0,0,0,7,0,0,0,0,3,0,25,63,1,1,0,7,0,0,111,0,3,0,14,1,0,0,0,1,3,7,0,3,1,0,10,1,1,0,0,5,4,0,16,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,1,2,0,1,0,0,0,0,1,2,0,0,0,2,0,3,9,0,6,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3,0,0,2,0,3,0,0,0,2,0,0,3,0,2,0,0,0,0,3,0,0,8,1,6,6,2,14,8,3,3,2,2,4,10,7,12,4,2,3,22,5,17,7,1,1,2,5,5,5,2,1,3,10,6,3,4,2,13,7,4,5,2,8,8,0,0,0,0,9,0,1,0,0,0,2,1,2,0,1,1,0,0,0,0,1,0,0,6,0,0,0
"745",0,3,3,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,2,1,16,0,0,0,0,2,5,0,0,1,0,0,2,0,0,0,4,0,2,0,0,4,0,0,0,0,0,1,1,17,5,0,0,3,2,6,0,22,0,1,0,0,0,0,5,1,1,0,0,0,0,7,0,1,0,0,0,3,29,0,0,0,5,1,0,0,0,1,0,0,0,8,0,0,0,0,1,0,9,0,1,0,1,4,0,23,17,0,0,0,15,0,0,267,9,2,0,15,0,3,0,0,1,6,5,0,2,1,3,9,0,0,0,2,4,4,2,4,0,0,0,3,6,1,0,0,2,0,18,0,0,0,0,3,0,3,0,0,0,1,0,7,0,1,0,0,1,0,0,0,0,0,2,1,0,1,2,0,0,18,0,2,0,0,1,4,0,3,5,0,22,5,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0,2,2,1,6,0,0,0,0,0,0,0,1,0,9,8,18,22,1,13,6,6,1,9,4,18,13,1,28,10,5,2,20,5,20,6,2,3,9,19,4,9,5,19,15,19,4,3,6,2,17,16,18,0,10,8,18,15,0,1,2,7,0,1,0,19,0,0,0,1,0,0,3,0,1,2,2,4,0,0,29,0,1,0
